gene	spl	degree	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	triangles	pagerank	load_centrality	harmonic_centrality
55	ACIN1	5.06877631746842	2	0.000255	5.5	37665	1e-06	0	0	8.5e-05	75330	1476.080195
56	ACKR1	5.22304453234656	4	0.00051	6	7550.965538	2e-06	0	0	0.000104	15105.348288	1432.66829
57	ACKR2	4.66683679979584	8	0.001021	6.625	19372.541809	1.2e-05	0	0	0.000175	40855.183487	1614.784163
58	ACKR4	5.35766237080515	1	0.000128	6	0	1e-06	0	0	3.6e-05	0	1390.066306
59	ACLY	3.94640806431032	3	0.000383	52	2070.981424	0.000615	0	0	6.2e-05	4683.184378	1930.995238
60	ACOT13	4.01965037641955	1	0.000128	148	0	0.000253	0	0	3.3e-05	0	1894.503968
61	ACOX1	5.13449023861171	2	0.000255	5.5	2943.957408	4.2e-05	0	0	8.3e-05	6078.087415	1457.131421
62	ACP1	3.52660456807452	10	0.001276	60.2	28610.615913	0.000938	0.088889	4	0.000143	61045.319359	2188.150794
63	ACP5	4.09455148653822	7	0.000893	8.571429	17706.113735	0.000119	0	0	0.000152	36796.384805	1850.636905
64	ACP6	4.39045553145336	4	0.00051	5.5	15373.713839	3.3e-05	0	0	0.000104	31046.011934	1713.427381
65	ACPP	4.94844966186041	1	0.000128	12	0	3e-06	0	0	4.6e-05	0	1508.235786
66	ACSL6	5.31951001658798	1	0.000128	6	0	1e-06	0	0	4.2e-05	0	1398.92031
67	ACTA1	3.7939262472885	13	0.001659	17.461538	21302.786416	0.000165	0.038462	3	0.000239	44269.520882	2014.584127
68	ACTA2	3.87354855174174	17	0.002169	14.823529	18250.325496	0.000498	0.176471	24	0.000272	39249.699797	1972.929762
69	ACTC1	3.99732040321552	9	0.001149	10.666667	2417.407381	0.000159	0.027778	1	0.000145	5511.391354	1897.482143
70	ACTG2	3.55212453745056	10	0.001276	52.9	8241.040728	0.002403	0.444444	20	0.000148	14533.387918	2161.043651
71	ACTL6A	3.6226872527753	34	0.004339	18.294118	48705.963824	0.000725	0.122995	69	0.000453	99900.811401	2132.715079
72	ACTL6B	3.92752328697206	5	0.000638	27.2	215.84975	0.000172	0.2	2	7.4e-05	453.030849	1933.30119
73	ACTN2	3.68112798264642	17	0.002169	20.176471	58695.887867	0.000159	0.036765	5	0.000307	122573.365169	2081.81746
74	ACTR1A	3.75347709582748	13	0.001659	23.615385	8106.001062	0.000379	0.179487	14	0.000183	17116.772851	2038.637698
75	ACTR2	3.38611713665944	36	0.004594	30.611111	38608.162853	0.005929	0.192063	121	0.000441	72029.996317	2286.061111
76	ACTR3	3.39236952915657	28	0.003573	33.035714	25466.352789	0.005398	0.177249	67	0.000358	47332.251076	2279.13254
77	ACTR3B	4.07196631364042	6	0.000766	18	130.27592	0.000253	0.6	9	8.8e-05	374.433133	1859.12619
78	ACTR5	4.51958657649611	7	0.000893	11	103.399924	2.7e-05	0.571429	12	0.000109	273.116745	1670.621861
79	ACTR6	3.86512696184765	9	0.001149	28.222222	1731.270209	0.001557	0.25	9	0.00012	4294.444327	1978.902381
80	ACTR8	3.98558121730254	10	0.001276	20.8	5317.693732	0.000131	0.444444	20	0.00015	11589.498643	1911.629762
81	ACVR1	4.14776062268725	4	0.00051	26.25	10152.510895	0.002188	0	0	8.6e-05	19950.235527	1835.722655
82	ACVR1B	4.61694525966569	4	0.00051	5.25	7566.026412	9e-06	0	0	9.8e-05	15420.657827	1625.56829
83	ACVR1C	5.60826847007784	2	0.000255	6	29.094555	1e-06	0	0	6.4e-05	91.370395	1327.337013
84	ACVR2A	4.81612862064565	6	0.000766	3.5	11489.997161	4.5e-05	0	0	0.000159	23241.148603	1559.442893
85	ACVR2B	5.25494449406661	2	0.000255	6.5	0	1e-06	1	1	6e-05	0	1417.023846
86	ACVRL1	4.09863468163838	8	0.001021	17.625	9634.05001	5.7e-05	0.178571	5	0.000151	20283.239571	1852.101587
87	ACY1	5.15273701671558	1	0.000128	4	0	1e-06	0	0	3.8e-05	0	1446.298882
88	ADA	4.89868572157713	3	0.000383	5.666667	19640.096478	2e-06	0	0	8.5e-05	39149.449978	1531.658405
89	ADAM10	4.30509123389052	4	0.00051	12.25	892.480005	3.3e-05	0	0	7.9e-05	2397.861369	1754.226227
90	ADAM12	3.5563353323976	8	0.001021	66.75	18416.833849	0.001335	0.142857	4	0.000136	37226.474486	2161.056746
91	ADAM15	4.03815235421717	2	0.000255	70.5	1776.643715	4.8e-05	0	0	4.9e-05	4135.179743	1880.486941
92	ADAM17	3.92471609034069	8	0.001021	20.5	14791.190032	0.000234	0	0	0.000139	34122.756416	1940.839286
93	ADAM19	4.75028709965548	3	0.000383	7	7651.610639	3e-06	0	0	1e-04	15300.511138	1576.29329
94	ADAM22	5.89881332142401	2	0.000255	2	7537	0	0	0	0.000101	15074	1255.793001
95	ADAM9	4.00803879035345	8	0.001021	14.25	5815.696168	6e-05	0	0	0.00014	14178.680597	1896.395238
96	ADAMTS1	4.93428607885671	3	0.000383	13.666667	466.774072	1e-06	0.333333	1	7.6e-05	1052.813243	1521.252417
97	ADAMTS13	5.37080515503381	1	0.000128	6	0	0	0	0	3.9e-05	0	1385.672655
98	ADAMTS4	5.53604695674365	2	0.000255	8.5	3531.532554	0	0	0	7.8e-05	7695.51895	1349.580231
99	ADAMTS5	5.5396197524563	1	0.000128	14	0	0	0	0	3.9e-05	0	1347.206421
100	ADAP1	4.1422738292714	5	0.000638	25	8642.038131	0.000396	0	0	8.9e-05	17716.521996	1837.041667
101	ADAR	5.10029347964782	1	0.000128	3	0	3e-06	0	0	4.8e-05	0	1461.918723
102	ADCK1	4.60737527114967	1	0.000128	41	0	5e-06	0	0	3.1e-05	0	1630.95956
103	ADCY1	6.1371698353962	1	0.000128	3	0	0	0	0	4.5e-05	0	1206.941775
104	ADCY10	5.48717621538854	1	0.000128	11	0	1e-06	0	0	3.3e-05	0	1364.981854
105	ADCY10P1	5.12594104887074	1	0.000128	7	0	3e-06	0	0	3.6e-05	0	1455.379004
106	ADCY2	5.14967462039046	1	0.000128	9	0	1e-06	0	0	3.2e-05	0	1454.48575
107	ADCY3	4.42669388796733	3	0.000383	41	73.524541	1.1e-05	0	0	5.6e-05	120.685393	1709.804365
108	ADCY4	4.36212836544596	4	0.00051	38	7669.840643	2e-05	0	0	7.9e-05	14981.706696	1738.275794
109	ADCY5	4.18795457445451	9	0.001149	46.777778	14767.844774	4.6e-05	0.194444	7	0.000138	31076.01752	1825.013095
110	ADCY6	3.86372336353196	9	0.001149	56.222222	29283.770171	7.6e-05	0.194444	7	0.000127	60799.933238	1986.002381
111	ADCY7	4.10641827229807	3	0.000383	41.666667	507.678666	2.9e-05	0.333333	1	5.7e-05	1021.789013	1848.715476
112	ADCY8	4.34132959040449	5	0.000638	25.6	8186.27742	1.3e-05	0	0	9.5e-05	17004.537527	1745.469481
113	ADCYAP1	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1
114	ADCYAP1R1	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1
115	ADD1	3.95074645910425	5	0.000638	21	4617.382916	5.7e-05	0	0	9.6e-05	10677.738305	1919.534127
116	ADD2	3.89498532601761	2	0.000255	92	144.842254	6.8e-05	0	0	4.4e-05	249.211444	1954.879365
117	ADD3	4.35345157585811	1	0.000128	48	0	1.7e-05	0	0	3.3e-05	0	1729.771465
118	ADGRA2	4.68100038279954	1	0.000128	16	0	3e-06	0	0	3.4e-05	0	1601.021068
119	ADGRB1	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1
120	ADGRB2	4.63697843562588	3	0.000383	6.333333	7769.19313	5e-06	0	0	9.4e-05	15824.204127	1618.456025
121	ADGRL1	4.36225596529284	2	0.000255	43	121.280257	1.6e-05	0	0	5e-05	179.871198	1728.253968
122	ADGRL2	5.33673599591681	1	0.000128	6	0	0	0	0	3.9e-05	0	1393.906025
123	ADH5	4.41048870741355	1	0.000128	46	0	1.8e-05	0	0	3.4e-05	0	1709.078211
124	ADI1	4.83118540257752	2	0.000255	9	294.986599	7e-06	0	0	5.7e-05	863.411244	1549.564358
125	ADIPOQ	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1
126	ADIPOR1	4.70307515630981	2	0.000255	7	7537	6e-06	0	0	8e-05	15074	1595.674242
127	ADIPOR2	5.66479520224576	1	0.000128	2	0	0	0	0	5.3e-05	0	1310.267569
128	ADM	4.75054229934924	4	0.00051	6	18347.886955	3e-06	0	0	0.000122	38606.168216	1576.843326
129	ADNP	4.14546382544341	1	0.000128	78	0	7.6e-05	0	0	3.2e-05	0	1822.911941
130	ADORA1	4.69439836672196	2	0.000255	17	208.904724	4e-06	0	0	4.8e-05	479.576994	1601.286147
131	ADORA2B	4.38407553910935	8	0.001021	44.5	8268.449946	3e-05	0.107143	3	0.000131	18041.546624	1738.211508
132	ADPRHL2	5.81919101697078	1	0.000128	4	0	0	0	0	4.3e-05	0	1271.179834
133	ADRA1A	4.13244864106163	13	0.001659	30.923077	26513.555434	3.4e-05	0.141026	11	0.000198	53185.314867	1850.315079
134	ADRA1B	3.89983412019906	12	0.001531	28.833333	36403.410526	0.00011	0.181818	12	0.000178	79580.171087	1965.359921
135	ADRA1D	4.65573561311726	2	0.000255	30	504.846567	5e-06	0	0	4.8e-05	1312.866518	1621.364358
136	ADRA2A	3.88120454255455	11	0.001404	57.727273	20369.036774	0.000144	0.109091	6	0.000145	40614.403004	1979.128571
137	ADRA2B	4.60597167283399	5	0.000638	40.4	700.682782	2.4e-05	0.1	1	7.7e-05	1689.775543	1649.637698
138	ADRA2C	4.71124154651014	3	0.000383	43.666667	6.783548	6e-06	0	0	5.1e-05	15.113822	1605.667496
139	ADRB1	4.63799923440092	3	0.000383	31	1039.709474	6e-06	0	0	5.6e-05	2598.174528	1629.963925
140	ADRB2	3.49049381140743	19	0.002425	44.894737	102750.370795	0.001259	0.122807	21	0.000265	201366.07764	2215.015079
141	ADRB3	5.27931606482072	1	0.000128	51	0	1e-06	0	0	3e-05	0	1421.692136
142	ADRM1	3.90761771085875	32	0.004084	33.46875	8543.063696	0.000757	0.788306	391	0.000257	16449.670314	1959.260714
143	AEBP2	4.96784483858619	1	0.000128	16	0	3e-06	0	0	3.2e-05	0	1509.785354
144	AES	3.75283909659308	9	0.001149	25.444444	22081.238074	0.000418	0.083333	3	0.000175	45146.483351	2035.197619
145	AFAP1	3.77861426566288	6	0.000766	46.666667	1942.842822	0.000188	0.066667	1	1e-04	3476.450331	2022.913889
146	AFAP1L2	4.5396197524563	1	0.000128	14	0	1.3e-05	0	0	3.4e-05	0	1655.13575
147	AFDN	3.6966951639658	13	0.001659	24.076923	27262.603326	0.001072	0.025641	2	0.000235	55598.131246	2072.397222
148	AFF1	4.12657904810514	10	0.001276	13.8	3832.293425	0.000103	0.155556	7	0.000144	8870.773892	1841.928175
149	AFF4	4.26170728595126	6	0.000766	14.5	652.227774	8.6e-05	0.2	3	8.8e-05	1490.906856	1777.591667
150	AFM	4.64782442261069	3	0.000383	6	12.060796	1.8e-05	0.333333	1	5.9e-05	39.363902	1619.791703
151	AFTPH	4.61936965675641	4	0.00051	8.5	405.829473	1e-05	0	0	8.1e-05	929.634331	1628.9671
152	AGAP2	3.95891284930458	4	0.00051	48.75	9249.074336	0.000116	0	0	0.000103	18938.259585	1920.593651
153	AGER	4.03304836034197	3	0.000383	31	4293.647371	9.8e-05	0	0	6.9e-05	9218.815215	1876.190079
154	AGFG1	3.85007017991578	15	0.001914	23.933333	9637.895604	0.000793	0.352381	37	0.000206	19148.047682	1983.755556
155	AGFG2	4.25915528901365	1	0.000128	45	0	5.9e-05	0	0	3.1e-05	0	1772.111941
156	AGGF1	5.17034579558505	2	0.000255	6	370.519689	1e-06	0	0	6.3e-05	1016.204747	1444.062734
157	AGL	4.12721704733954	1	0.000128	65	0	8.7e-05	0	0	3.3e-05	0	1835.177814
158	AGO1	4.96963123644252	2	0.000255	5	1421.531211	6e-06	0	0	6.9e-05	3502.016911	1504.364755
159	AGO2	4.57317851218579	4	0.00051	8.75	13970.725674	1.8e-05	0	0	0.000122	27480.451261	1648.214358
160	AGPAT4	4.14673982391221	1	0.000128	83	0	6.6e-05	0	0	3.3e-05	0	1825.469481
161	AGPS	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1
162	AGRN	4.54523414571903	1	0.000128	42	0	7e-06	0	0	3.5e-05	0	1653.58575
163	AGT	4.12900344519587	10	0.001276	13.2	56417.176095	9.1e-05	0.022222	1	0.000241	116074.131754	1845.199603
164	AGTPBP1	4.81025902768917	3	0.000383	2.666667	15073	3e-06	0	0	0.000138	30146	1554.736977
165	AGTR1	3.9053209136149	12	0.001531	34.416667	31898.617117	0.00013	0.106061	7	0.000188	68638.109499	1963.093651
166	AGTRAP	4.86704095955085	1	0.000128	12	0	3e-06	0	0	3.3e-05	0	1540.90404
167	AGXT	4.16320020415975	4	0.00051	12.75	3133.657703	7.3e-05	0	0	9e-05	8272.494045	1815.598846
168	AHCTF1	4.08485389817532	10	0.001276	24	1079.789955	0.000239	0.288889	13	0.000111	2466.223777	1871.275
169	AHCYL1	4.62562204925354	2	0.000255	9.5	7537	5e-06	0	0	8.5e-05	15074	1623.652417
170	AHCYL2	5.58734209518949	1	0.000128	2	0	0	0	0	5.5e-05	0	1328.693723
171	AHI1	5.51180298583642	3	0.000383	5	157.316142	0	0	0	8.7e-05	559.201938	1352.476263
172	AHR	4.07515630981243	5	0.000638	21	754.349015	7.1e-05	0	0	8.5e-05	1754.271777	1864.49881
173	AHRR	4.58836289396453	1	0.000128	11	0	7e-06	0	0	3.5e-05	0	1633.51829
174	AHSA1	4.15988260814087	3	0.000383	22	296.352404	0.000271	0	0	5.3e-05	741.794635	1820.555952
175	AHSG	3.85351537578155	3	0.000383	71	2945.918198	0.000114	0	0	6.5e-05	5400.817886	1978.973413
176	AIF1	4.59895368125558	2	0.000255	10.5	125.250121	8e-06	0	0	5.2e-05	343.730644	1630.091306
177	AIFM1	3.76929947684063	11	0.001404	24.272727	42577.614591	0.001173	0.018182	1	0.000197	87071.433464	2029.995238
178	AIMP1	3.83922419293097	9	0.001149	29.111111	1736.980044	0.000527	0.444444	16	0.00013	3746.317913	1992.947619
179	AIRE	3.86066096720684	2	0.000255	106.5	0	0.00016	1	1	4.7e-05	0	1974.895238
180	AJUBA	4.50631619242057	2	0.000255	11	215.35985	2.5e-05	0	0	5e-05	580.880292	1664.265873
181	AK2	3.98991961209647	2	0.000255	80	5720.786042	0.000255	0	0	5.9e-05	14833.279242	1909.43373
182	AK9	5.19931096082685	1	0.000128	3	0	1e-06	0	0	4.3e-05	0	1429.854401
183	AKAP1	4.2775296669644	5	0.000638	9.6	3243.033263	4.6e-05	0.1	1	0.000111	8428.23658	1765.250036
184	AKAP10	4.2916932499681	3	0.000383	15.333333	629.971926	3.6e-05	0.333333	1	6.6e-05	1396.084497	1755.367496
185	AKAP11	4.25622049253541	2	0.000255	22	127.810184	0.000118	0	0	4.3e-05	420.054922	1777.290909
186	AKAP12	4.45221385734337	1	0.000128	19	0	2.4e-05	0	0	3.1e-05	0	1690.478211
187	AKAP13	3.74722470333036	9	0.001149	33.222222	15416.652507	0.000192	0	0	0.000155	32467.014012	2043.14127
188	AKAP17A	4.93900727319127	1	0.000128	25	0	2e-06	0	0	4.2e-05	0	1514.852417
189	AKAP3	4.74786270256476	3	0.000383	8	22607	2e-06	0	0	0.000128	45214	1584.147691
190	AKAP4	5.31491642210029	1	0.000128	8	0	2e-06	0	0	3.9e-05	0	1402.057612
191	AKAP6	3.91846369784356	4	0.00051	38.25	1769.202582	0.000143	0	0	8.2e-05	4819.519165	1943.647222
192	AKAP8	4.18884777338267	2	0.000255	24	115.84613	0.000161	0	0	4.4e-05	307.42926	1802.788095
193	AKAP8L	3.7391859129769	8	0.001021	34.75	71653.376411	0.000778	0.071429	2	0.000136	141528.330274	2046.144841
194	AKAP9	3.70856194972566	14	0.001787	22.857143	43672.76219	0.000511	0.043956	4	0.000228	90545.840207	2069.514286
195	AKIRIN2	4.96018884777338	1	0.000128	8	0	3e-06	0	0	4.1e-05	0	1506.198449
196	AKR1A1	5.38803113436264	1	0.000128	8	0	2e-06	0	0	3.6e-05	0	1386.015584
197	AKR1B1	3.18897537322955	43	0.005487	31.55814	186137.527119	0.001506	0.043189	39	0.000645	355449.046027	2438.240873
198	AKR1C1	5.4977670026796	1	0.000128	5	0	0	0	0	5e-05	0	1350.253211
199	AKR7A2	5.01722597932882	2	0.000255	16	7537	1e-06	0	0	8.2e-05	15074	1494.427417
200	AKR7A3	5.97894602526477	1	0.000128	2	0	0	0	0	5.4e-05	0	1240.664755
201	AKT1	3.34554038535154	32	0.004084	26.84375	110184.525263	0.001926	0.03629	18	0.000518	215633.633679	2311.956746
202	AKT2	4.22381013142784	5	0.000638	15.4	1108.969672	3.7e-05	0.1	1	9.7e-05	2827.677363	1793.227814
203	AKT3	4.74224830930203	2	0.000255	7	7537	6e-06	0	0	8.1e-05	15074	1578.246861
204	AKTIP	4.7939262472885	1	0.000128	12	0	5e-06	0	0	3.6e-05	0	1558.793723
205	ALAS1	4.41546510144188	1	0.000128	16	0	9e-05	0	0	3.2e-05	0	1703.861941
206	ALB	3.64374122751053	50	0.006381	7.52	247999.22667	0.000209	0.009796	12	0.001168	508826.71834	2119.938889
207	ALCAM	4.89855812173025	1	0.000128	3	0	2e-06	0	0	4.1e-05	0	1526.838961
208	ALDH18A1	4.04848794181447	1	0.000128	116	0	8.5e-05	0	0	3.1e-05	0	1881.324242
209	ALDH1B1	4.04848794181447	1	0.000128	116	0	8.5e-05	0	0	3.1e-05	0	1881.324242
210	ALDH3A2	4.84050019139977	1	0.000128	15	0	2e-06	0	0	4e-05	0	1542.757612
211	ALDH5A1	5.1082046701544	1	0.000128	2	0	1e-06	0	0	5.2e-05	0	1459.479798
212	ALDOA	3.91986729615924	6	0.000766	23	24989.870476	0.000188	0	0	0.000116	53002.279729	1941.435714
213	ALG2	4.89434732678321	3	0.000383	4	302.757824	4e-06	0	0	8.5e-05	1001.097568	1527.765152
214	ALOX12	4.3360979966824	1	0.000128	17	0	3e-05	0	0	3.6e-05	0	1733.962302
215	ALOX12B	4.3360979966824	1	0.000128	17	0	3e-05	0	0	3.6e-05	0	1733.962302
216	ALOX5	3.75934668878397	4	0.00051	63.25	8371.752842	0.001049	0	0	9.6e-05	17187.699902	2031.057937
217	ALOX5AP	4.72106673471992	1	0.000128	4	0	2e-05	0	0	4e-05	0	1585.161941
218	ALPI	4.59040449151461	1	0.000128	40	0	0.001304	0	0	2.6e-05	0	1640.459596
219	ALPL	4.38267194079367	1	0.000128	55	0	0.001076	0	0	2.8e-05	0	1723.069481
220	ALS2	4.10144187826975	1	0.000128	100	0	7e-05	0	0	3.3e-05	0	1846.209524
221	ALS2CR12	4.10641827229807	1	0.000128	114	0	3.8e-05	0	0	3.2e-05	0	1846.821825
222	ALX1	4.02985836416996	1	0.000128	110	0	8.1e-05	0	0	3.1e-05	0	1885.009524
223	ALX4	4.88082174301391	1	0.000128	6	0	2e-06	0	0	4.3e-05	0	1533.944877
224	ALYREF	3.4977670026796	49	0.006253	40.836735	35775.071913	0.009675	0.222789	262	0.000401	66738.104668	2220.372619
225	AMBP	4.22074773510272	4	0.00051	32	3345.27719	2.6e-05	0.166667	1	9.1e-05	6863.54978	1797.859957
226	AMBRA1	4.26642848028582	1	0.000128	56	0	0.000122	0	0	3.2e-05	0	1768.844444
227	AMFR	4.32869720556335	7	0.000893	10.571429	1911.095601	0.000142	0.285714	6	0.000121	4698.783521	1747.956385
228	AMH	4.7385479137425	4	0.00051	6.25	2138.512751	2e-06	0	0	9.9e-05	5635.218053	1584.358333
229	AMHR2	4.947811662626	2	0.000255	7	351.135624	5e-06	0	0	5.8e-05	876.247049	1510.740512
230	AMIGO1	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1
231	AMIGO3	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1
232	AMOTL1	4.88401173918591	1	0.000128	4	0	6e-06	0	0	4.1e-05	0	1533.631385
233	AMOTL2	4.53923695291566	3	0.000383	19.666667	1765.08214	3.1e-05	0	0	7e-05	4716.533562	1662.250397
234	AMPD3	4.60546127344647	1	0.000128	50	0	4e-06	0	0	3.9e-05	0	1632.115115
235	AMPH	3.8171494194207	10	0.001276	24.3	11641.257279	0.000412	0.044444	2	0.000163	24332.541787	2002.478175
236	AMT	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1
237	ANAPC10	3.76215388541534	21	0.00268	33.571429	7497.342848	0.001541	0.138095	29	0.000232	15007.694421	2052.489286
238	ANAPC11	3.83896899323721	18	0.002297	34.388889	7184.631959	0.001264	0.339869	52	0.000203	14408.325225	2008.590476
239	ANAPC13	4.18361617966058	10	0.001276	17.5	144.64852	0.000405	0.444444	20	0.00012	413.703752	1813.546465
240	ANAPC15	3.80285823657012	6	0.000766	53.5	626.38181	0.003368	0.4	6	7.8e-05	1292.416192	2015.911905
241	ANAPC2	3.74058951129259	14	0.001787	31.785714	7195.679559	0.001203	0.208791	19	0.000164	16699.684806	2054.090079
242	ANAPC4	4.04478754625494	13	0.001659	20.307692	902.82754	0.000547	0.346154	27	0.000155	2365.258283	1887.253175
243	ANAPC5	3.61464846242185	27	0.003446	42.851852	17057.216072	0.002184	0.225071	79	0.000294	32410.072757	2149.519048
244	ANAPC7	4.09672068393518	12	0.001531	29.083333	736.922367	0.000625	0.393939	26	0.000138	1664.167104	1868.265909
245	ANGPT1	4.55850452979456	3	0.000383	11	190.59774	7e-06	0.333333	1	6.5e-05	523.127097	1650.547258
