gene	cluster1	GeneID
276	GALR1	20	2587
277	GALR3	20	8484
278	GANAB	7	23193
279	GART	12	2618
280	GATA3	10	2625
281	GCC2	16	9648
282	GCLM	12	2730
283	GEMIN5	5	25929
284	GEMIN7	5	79760
285	GH1	4	2688
286	GHSR	20	2693
287	GJA3	6	2700
288	GKAP1	1	80318
289	GLI2	7	2736
290	GLS2	8	27165
291	GNA12	20	2768
292	GNAO1	20	2775
293	GNAS	20	2778
294	GNAT3	20	346562
295	GNB2	20	2783
296	GNG13	20	51764
297	GNG3	20	2785
298	GNG7	20	2788
299	GNGT1	20	2792
300	GOLGA1	16	2800
301	GOLM1	5	51280
302	GPC3	3	2719
303	GPR84	20	53831
304	GPSM2	20	29899
305	GRAP	4	10750
306	GRIA1	9	2890
307	GRIA2	9	2891
308	GRIA3	9	2892
309	GRIK2	9	2898
310	GRIN2A	8	2903
311	GRIN3A	8	116443
312	GRIPAP1	7	56850
313	GRPR	20	2925
314	GSPT1	12	2935
315	GTF2E2	13	2961
316	GTF2H4	13	2968
317	GTF2H5	13	404672
318	GTF2IRD1	12	9569
319	GTSE1	11	51512
320	GYS1	9	2997
321	GZMA	6	3001
322	H2AFJ	18	55766
323	HACD3	3	51495
324	HAP1	17	9001
325	HAUS2	9	55142
326	HAUS6	11	54801
327	HBEGF	1	1839
328	HDAC6	2	10013
329	HEATR1	12	55127
330	HECTD2	7	143279
331	HERC2	18	8924
332	HERC4	7	26091
333	HERC6	7	55008
334	HEXIM1	20	10614
335	HIF3A	7	64344
336	HIPK1	2	204851
337	HIPK2	2	28996
338	HIST1H2AA	18	221613
339	HIST1H2BA	18	255626
340	HIST1H2BC	12	8347
341	HIST1H2BH	18	8345
342	HIST1H3B	18	8358
343	HIST1H3C	18	8352
344	HIST1H3H	18	8357
345	HIST1H3I	18	8354
346	HIST1H3J	18	8356
347	HIST1H4A	2	8359
348	HIST1H4C	2	8364
349	HIST1H4D	2	8360
350	HIST3H2A	18	92815
351	HLA-DMB	19	3109
352	HLA-DRA	19	3122
353	HLA-G	5	3135
354	HMGA1	7	3159
355	HNRNPH1	2	3187
356	HNRNPUL1	9	11100
357	HR	1	55806
358	HSBP1	2	3281
359	HSF1	2	3297
360	HSF2	18	3298
361	HSP90AA2P	2	3324
362	HSPA1L	2	3305
363	HSPA2	2	3306
364	HTR1A	20	3350
365	HTR1B	20	3351
366	HTR1E	20	3354
367	HTR5A	20	3361
368	HTR6	20	3362
369	HUS1	14	3364
370	IFITM1	12	8519
371	IFNGR2	19	3460
372	IGHG1	3	3500
373	IGSF21	12	84966
374	IKZF1	10	10320
375	IL7	4	3574
376	INCA1	14	388324
377	INCENP	11	3619
378	ING3	8	54556
379	IPO13	12	9670
380	ISG15	13	9636
381	ITGA3	15	3675
382	ITGB3	15	3690
383	ITPKA	8	3706
384	KATNB1	4	10300
385	KCNA2	4	3737
386	KCNAB2	4	8514
387	KCNB1	4	3745
388	KCND2	4	3751
389	KCTD12	12	115207
390	KCTD5	7	54442
391	KHDRBS3	9	10656
392	KHSRP	2	8570
393	KIF11	10	3832
394	KIF1B	1	23095
395	KIF20A	11	10112
396	KIF23	11	9493
397	KIF2A	11	3796
398	KIF2B	11	84643
399	KIF2C	11	11004
400	KIF4A	2	24137
401	KIF5A	10	3798
402	KIF5B	10	3799
403	KLHL1	4	57626
404	KLHL12	7	59349
405	KLRC3	5	3823
406	KLRD1	5	3824
407	KMT5A	2	387893
408	KPNA4	6	3840
409	KPNA6	6	23633
410	KRT1	3	3848
411	KTN1	10	3895
412	LAMA2	15	3908
413	LAMA4	15	3910
414	LAMB2	15	3913
415	LAMC1	15	3915
416	LAPTM5	15	7805
417	LASP1	9	3927
418	LATS1	4	9113
419	LDLR	3	3949
420	LDLRAP1	3	26119
421	LEPROT	15	54741
422	LGALS1	5	3956
423	LILRB2	5	10288
424	LIMS1	4	3987
425	LIN7A	12	8825
426	LIPE	9	3991
427	LMNB1	6	4001
428	LMO4	14	8543
429	LMOD1	8	25802
430	LNX1	9	84708
431	LPAR3	20	23566
432	LRP1	3	4035
433	LRP2	3	4036
434	LRP8	3	7804
435	LTBP1	3	4052
436	LTBP3	1	4054
437	LUC7L2	17	51631
438	LYL1	10	4066
439	LZTS2	6	84445
440	MAD2L1BP	12	9587
441	MAD2L2	15	10459
442	MAGT1	3	84061
443	MAP1B	4	4131
444	MAP2	6	4133
445	MAP2K7	3	5609
446	MAP3K2	3	10746
447	MAP3K7	2	6885
448	MAPK8IP2	3	23542
449	MAPK8IP3	3	23162
450	MAPRE1	11	22919
451	MARK2	2	2011
452	MATN2	3	4147
453	MATR3	2	9782
454	MCAM	15	4162
455	MCC	12	4163
456	MCHR2	20	84539
457	MCM10	14	55388
458	MCM8	14	84515
459	MDM4	14	4194
460	MED1	1	5469
461	MED12	1	9968
462	MED18	1	54797
463	MED24	1	9862
464	MED29	1	55588
465	MEGF10	4	84466
466	METAP2	6	10988
467	MFAP5	3	8076
468	MGA	14	23269
469	MGMT	9	4255
470	MIS18A	11	54069
471	MMP1	3	4312
472	MMP3	3	4314
473	MOAP1	4	64112
474	MORF4L2	8	9643
475	MPDU1	8	9526
476	MPP6	12	51678
477	MPZL1	12	9019
478	MRFAP1	8	93621
479	MRM3	7	55178
480	MRPL32	17	64983
481	MRPL4	17	51073
482	MRPL41	17	64975
483	MRPL55	17	128308
484	MRPS21	17	54460
485	MRPS5	17	64969
486	MSH2	14	4436
487	MSH3	14	4437
488	MSH4	14	4438
489	MTHFD1	12	4522
490	MTHFD1L	12	25902
491	MTIF2	17	4528
492	MTNR1A	11	4543
493	MTOR	2	2475
494	MX1	13	4599
495	MXI1	10	4601
496	MYBL2	14	4605
497	MYL1	8	4632
498	MYL4	8	4635
499	MYL5	8	4636
500	MYOZ2	8	51778
501	NAE1	10	8883
502	NAGPA	3	51172
503	NAP1L5	17	266812
504	NAPA	4	8775
505	NAPG	4	8774
506	NBN	14	4683
507	NCAPD2	18	9918
508	NCAPG	18	64151
509	NCAPH	18	23397
510	NCAPH2	18	29781
511	NCKAP1	15	10787
512	NCOR1	10	9611
513	NDE1	11	54820
514	NELFB	14	25920
515	NFE2	10	4778
516	NFKB2	2	4791
517	NFKBIB	13	4793
518	NFYB	2	4801
519	NGLY1	7	55768
520	NIPSNAP3A	5	25934
521	NKIRAS1	4	28512
522	NKX2-1	2	7080
523	NLGN4X	1	57502
524	NLK	2	51701
525	NMUR1	20	10316
526	NONO	1	4841
527	NPAS2	2	4862
528	NPFFR1	20	64106
529	NPHP1	15	4867
530	NPY1R	20	4886
531	NPY2R	20	4887
532	NR1I2	1	8856
533	NR4A1	1	3164
534	NR5A1	2	2516
535	NR5A2	2	2494
536	NRCAM	2	4897
537	NRXN3	1	9369
538	NTRK1	4	4914
539	NUAK1	2	9891
540	NUF2	11	83540
541	NUP153	12	9972
542	NUP155	12	9631
543	OBSCN	8	84033
544	OGG1	14	4968
545	OPRK1	20	4986
546	ORC1	14	4998
547	ORC2	14	4999
548	ORC3	14	23595
549	ORC5	14	5001
550	ORC6	14	23594
551	OXSR1	4	9943
552	PACSIN1	15	29993
553	PAFAH1B2	12	5049
554	PAFAH1B3	12	5050
555	PAIP1	7	10605
556	PAK3	14	5063
557	PAPOLA	13	10914
558	PCBD1	1	5092
559	PCBP4	6	57060
560	PCF11	13	51585
561	PDCD5	12	9141
562	PDCD6	2	10016
563	PDS5A	11	23244
564	PEA15	2	8682
565	PER3	2	8863
566	PF4	3	5196
567	PFKFB3	7	5209
568	PFKM	12	5213
569	PHC2	9	1912
570	PHF21A	10	51317
571	PICALM	15	8301
572	PIK3CG	5	5294
573	PIK3R5	5	23533
574	PIM1	14	5292
575	PINX1	12	54984
576	PKIA	9	5569
577	PLCB3	20	5331
578	PLEC	6	5339
579	PLK1	11	5347
580	PLK4	11	10733
581	PLXNA4	14	91584
582	PNKP	5	11284
583	POLA1	13	5422
584	POLD3	13	10714
585	POLR1E	13	64425
586	POLR2H	13	5437
587	POLR2J	13	5439
588	POLR3B	13	55703
589	PON1	3	5444
590	POU1F1	1	5449
591	PPFIA1	16	8500
592	PPFIA2	16	8499
593	PPP1CB	9	5500
594	PPP2R2C	9	5522
595	PPP2R3A	9	5523
596	PPP3R1	9	5534
597	PPP5C	6	5536
598	PPWD1	13	23398
599	PRKACA	9	5566
600	PRKAR2B	9	5577
601	PRKCG	6	5582
602	PRLR	4	5618
603	PRPF8	13	10594
604	PRPH2	6	5961
605	PSEN2	15	5664
606	PSPC1	1	55269
607	PTCD3	17	55037
608	PTGDR	20	5729
609	PTGFR	20	5737
610	PTPN14	6	5784
611	PTPN22	5	26191
612	PTPRJ	5	5795
613	QARS	2	5859
614	RAB10	11	10890
615	RAB11FIP4	4	84440
616	RAB11FIP5	4	26056
617	RAB2A	12	5862
618	RAB3A	16	5864
619	RAB5B	15	5869
620	RAB6B	16	51560
621	RAB7A	12	7879
622	RACGAP1	11	29127
623	RAD1	14	5810
624	RAD23A	13	5886
625	RAD51	14	5888
626	RAD54L	14	8438
627	RAD9B	14	144715
628	RALGDS	4	5900
629	RARS	2	5917
630	RASGRF1	9	5923
631	RASGRP3	9	25780
632	RASSF1	4	11186
633	RAVER1	8	125950
634	RB1CC1	1	9821
635	RBBP5	13	5929
636	RBBP6	7	5930
637	RBFOX1	6	54715
638	RBFOX2	6	23543
639	RBPJ	7	3516
640	RCOR1	10	23186
641	RDX	20	5962
642	REST	10	5978
643	REV1	13	51455
644	RFC2	13	5982
645	RFC4	13	5984
646	RFX5	10	5993
647	RGS16	20	6004
648	RGS3	8	5998
649	RHOBTB1	4	9886
650	RHOD	4	29984
651	RHOH	4	399
652	RHPN2	4	85415
653	RIC8B	3	55188
654	RIOK1	12	83732
655	RIPK1	2	8737
656	RLF	4	6018
657	RMI1	14	80010
658	RND2	11	8153
659	RNF111	7	54778
660	RNF138	6	51444
661	RNF19A	7	25897
662	RNF217	7	154214
663	RNMT	6	8731
664	RNU12-2P	13	26823
665	RPL10L	12	140801
666	RPL27A	12	6157
667	RPS6	12	6194
668	RPS6KA2	1	6196
669	RPS6KA3	1	6197
670	RRAD	14	6236
671	RTCA	12	8634
672	RUNX1	10	861
673	RYR2	9	6262
674	S1PR1	20	1901
675	SAP30L	10	79685
676	SAR1A	12	56681
677	SCAF1	3	58506
678	SCAF11	5	9169
679	SCRIB	20	23513
680	SDC3	14	9672
681	SDC4	3	6385
682	SEC31A	2	22872
683	SEL1L	7	6400
684	SELENOP	3	6414
685	SELP	3	6403
686	SELPLG	3	6404
687	SEMA3A	14	10371
688	SEMA3F	8	6405
689	SEPSECS	5	51091
690	SEPT1	11	1731
691	SEPT2	4	4735
692	SEPT5	4	5413
693	SERINC3	3	10955
694	SERPINB8	3	5271
695	SET	6	6418
696	SETD7	18	80854
697	SF1	9	7536
698	SF3B1	13	23451
699	SF3B3	13	23450
700	SGO2	6	151246
701	SH2B2	4	10603
702	SH2B3	5	10019
703	SH2D1A	5	4068
704	SH3D19	15	152503
705	SH3GL1	15	6455
706	SH3GL2	15	6456
707	SH3GL3	15	6457
708	SH3RF1	2	57630
709	SHANK1	1	50944
710	SHANK2	1	22941
711	SHB	15	6461
712	SHBG	8	6462
713	SIK1	2	150094
714	SIK2	2	23235
715	SIN3B	10	23309
716	SKA1	11	220134
717	SKA2	11	348235
718	SKA3	11	221150
719	SKIV2L	12	6499
720	SLA	5	6503
721	SLAMF1	5	6504
722	SLAMF6	5	114836
723	SLAMF7	5	57823
724	SLC12A2	4	6558
725	SLC25A23	6	79085
726	SLC25A3	2	5250
727	SLC38A2	18	54407
728	SLC40A1	5	30061
729	SLC9A3	1	6550
730	SLC9A3R2	20	9351
731	SMAD6	4	4091
732	SMC4	18	10051
733	SNCA	4	6622
734	SNRPN	13	6638
735	SNUPN	12	10073
736	SNX4	15	8723
737	SOCS2	4	8835
738	SOCS3	4	9021
739	SORBS2	1	8470
740	SORL1	3	6653
741	SP4	2	6671
742	SPARC	19	6678
743	SPC25	11	57405
744	SPDL1	11	54908
745	SPNS1	5	83985
746	SPP1	3	6696
747	SPTA1	6	6708
748	SPTB	6	6710
749	SQSTM1	4	8878
750	SRFBP1	4	153443
751	SRP19	12	6728
752	SRP54	12	6729
753	SRP72	12	6731
754	SRPRB	3	58477
755	SSTR3	20	6753
756	SSTR5	20	6755
757	STAG1	11	10274
758	STAT5B	4	6777
759	STK4	4	6789
760	STOM	9	2040
761	STON2	16	85439
762	STRAP	4	11171
763	STX11	18	8676
764	STX8	4	9482
765	STYXL1	3	51657
766	SUB1	2	10923
767	SUFU	7	51684
768	SVIL	17	6840
769	SYF2	13	25949
770	SYT1	16	6857
771	SYT4	16	6860
772	SYVN1	7	84447
773	TAAR1	20	134864
774	TAAR5	20	9038
775	TAAR6	20	319100
776	TAAR8	20	83551
777	TADA2B	18	93624
778	TAF12	18	6883
779	TAF15	9	8148
780	TAF1A	13	9015
781	TAF6L	18	10629
782	TAL1	10	6886
783	TAX1BP1	1	8887
784	TBCB	13	1155
785	TBL3	12	10607
786	TCAP	8	8557
787	TEAD3	10	7005
788	TEP1	2	7011
789	TERT	2	7015
790	TFAP2A	3	7020
791	TFE3	7	7030
792	TG	3	7038
793	TGFBR1	4	7046
794	THOC2	13	57187
795	THOC5	13	8563
796	TIMELESS	14	8914
797	TIMM13	7	26517
798	TIPIN	14	54962
799	TJP1	6	7082
800	TK1	9	7083
801	TKT	12	7086
802	TMBIM4	3	51643
803	TMF1	16	7110
804	TMLHE	1	55217
805	TNFAIP6	3	7130
806	TNFRSF8	2	943
807	TNFSF8	2	944
808	TNNC2	8	7125
809	TNNT1	8	7138
810	TNNT2	8	7139
811	TNNT3	8	7140
812	TOMM34	2	10953
813	TOP2A	6	7153
814	TOP2B	6	7155
815	TOP3A	14	7156
816	TP53BP2	10	7159
817	TP73	2	7161
818	TPX2	11	22974
819	TRADD	2	8717
820	TRAT1	5	50852
821	TRIB3	2	57761
822	TRIM11	7	81559
823	TRIM4	7	89122
824	TRIM41	7	90933
825	TRMT112	12	51504
826	TSHR	20	7253
827	TSR1	12	55720
828	TTC1	20	7265
829	TTF2	2	8458
830	TTN	8	7273
831	TUBA8	13	51807
832	TUBGCP2	11	10844
833	TUBGCP3	11	10426
834	TXK	4	7294
835	TXNL4A	13	10907
836	UBA2	12	10054
837	UBAC1	15	10422
838	UBE2E2	7	7325
839	UBE2U	7	148581
840	UBE2V2	12	7336
841	UBOX5	7	22888
842	UBR1	7	197131
843	UBR2	7	23304
844	UBR5	7	51366
845	UBTF	13	7343
846	UBXN1	7	51035
847	UCHL1	12	7345
848	UNC13B	16	10497
849	UNC13D	9	201294
850	UPF1	12	5976
851	UPF3A	12	65110
852	USP13	15	8975
853	USP6NL	15	9712
854	USP7	13	7874
855	USP8	9	9101
856	UTP3	12	57050
857	UTS2R	20	2837
858	VCAN	3	1462
859	VDR	1	7421
860	VLDLR	3	7436
861	VPREB1	5	7441
862	VPS11	4	55823
863	VPS4B	10	9525
864	VPS51	16	738
865	VTA1	10	51534
866	WASF2	15	10163
867	WDR61	4	80349
868	WT1	9	7490
869	XAB2	13	56949
870	XRCC1	14	7515
871	YAP1	10	10413
872	YBX3	2	8531
873	ZBTB7A	2	51341
874	ZFAND5	2	7763
875	ZNF384	9	171017
876	ZNF764	7	92595
877	ZNF8	3	7554
878	ZNRD1	1	30834
879	ZWILCH	11	55055
880	ZWINT	11	11130
